Month,Avg. Players,Gain,% Gain,Peak Players
Mar-14,"3,633.10",-619.3,-14.56%,"7,240"
Feb-14,"4,252.50","-1,264.70",-22.92%,"8,530"
Jan-14,"5,517.20",902.7,19.56%,"12,931"
Dec-13,"4,614.40",308.4,7.16%,"11,905"
Nov-13,"4,306.00","1,082.30",33.57%,"8,745"
Oct-13,"3,223.80",-654.6,-16.88%,"5,950"
Sep-13,"3,878.40","-2,506.70",-39.26%,"8,181"
Aug-13,"6,385.10",183.5,2.96%,"15,876"
Jul-13,"6,201.60","2,861.70",85.68%,"14,720"
Jun-13,"3,340.00",69.8,2.13%,"6,554"
May-13,"3,270.20",119,3.77%,"6,007"
Apr-13,"3,151.30",11.9,0.38%,"6,225"
Mar-13,"3,139.40",-118.3,-3.63%,"5,992"
Feb-13,"3,257.70",-232.6,-6.66%,"6,244"
Jan-13,"3,490.30",236.5,7.27%,"6,544"
Dec-12,"3,253.80",35.2,1.09%,"6,279"
Nov-12,"3,218.70",411.4,14.65%,"6,372"
Oct-12,"2,807.30",-587.6,-17.31%,"5,387"
Sep-12,"3,394.90","-1,836.70",-35.11%,"6,779"
Aug-12,"5,231.60","-1,928.10",-26.93%,"10,896"
Jul-12,"7,159.70",-,-,"12,756"
